0;0.00E+00
0.01;6.50E-01
0.02;1.24E+00
0.03;1.73E+00
0.04;2.08E+00
0.05;2.28E+00
0.06;2.34E+00
0.07;2.29E+00
0.08;2.17E+00
0.09;2.01E+00
0.1;1.88E+00
0.11;1.78E+00
0.12;1.76E+00
0.13;1.79E+00
0.14;1.88E+00
0.15;1.99E+00
0.16;2.10E+00
0.17;2.19E+00
0.18;2.23E+00
0.19;2.23E+00
0.2;2.20E+00
0.21;2.16E+00
0.22;2.14E+00
0.23;2.18E+00
0.24;2.29E+00
0.25;2.50E+00
0.26;2.79E+00
0.27;3.14E+00
0.28;3.51E+00
0.29;3.84E+00
0.3;4.10E+00
0.31;4.23E+00
0.32;4.20E+00
0.33;4.00E+00
0.34;3.65E+00
0.35;3.17E+00
0.36;2.62E+00
0.37;2.04E+00
0.38;1.51E+00
0.39;1.05E+00
0.4;7.00E-01
0.41;4.72E-01
0.42;3.56E-01
0.43;3.26E-01
0.44;3.47E-01
0.45;3.81E-01
0.46;3.93E-01
0.47;3.62E-01
0.48;2.80E-01
0.49;1.53E-01
0.5;3.06E-16
0.51;-1.53E-01
0.52;-2.80E-01
0.53;-3.62E-01
0.54;-3.93E-01
0.55;-3.81E-01
0.56;-3.47E-01
0.57;-3.26E-01
0.58;-3.56E-01
0.59;-4.72E-01
0.6;-7.00E-01
0.61;-1.05E+00
0.62;-1.51E+00
0.63;-2.04E+00
0.64;-2.62E+00
0.65;-3.17E+00
0.66;-3.65E+00
0.67;-4.00E+00
0.68;-4.20E+00
0.69;-4.23E+00
0.7;-4.10E+00
0.71;-3.84E+00
0.72;-3.51E+00
0.73;-3.14E+00
0.74;-2.79E+00
0.75;-2.50E+00
0.76;-2.29E+00
0.77;-2.18E+00
0.78;-2.14E+00
0.79;-2.16E+00
0.8;-2.20E+00
0.81;-2.23E+00
0.82;-2.23E+00
0.83;-2.19E+00
0.84;-2.10E+00
0.85;-1.99E+00
0.86;-1.88E+00
0.87;-1.79E+00
0.88;-1.76E+00
0.89;-1.78E+00
0.9;-1.88E+00
0.91;-2.01E+00
0.92;-2.17E+00
0.93;-2.29E+00
0.94;-2.34E+00
0.95;-2.28E+00
0.96;-2.08E+00
0.97;-1.73E+00
0.98;-1.24E+00
0.99;-6.50E-01
